"si","sj","logLik","AIC","BIC"
"sys2","sys12",5,5,5
"sys2","sys13",19,19,19
"sys2","sys14",17,14,14
"sys2","sys15",19,19,14
"sys2","sys16",9,9,16
"sys2","sys17",9,9,14
"sys2","sys18",7,14,14
"sys2","sys19",2,5,5
"sys2","sys20",214,214,14
"sys2","sys21",214,14,14
"sys2","sys22",2,2,14
"sys2","sys23",2,2,2
"sys2","sys24",204,13,13
"sys2","sys25",204,13,13
"sys2","sys26",204,13,13
"sys2","sys27",214,214,14
"sys2","sys28",10,0,0
"sys2","sys29",13,13,13
"sys2","sys30",13,13,13
"sys2","sys31",13,13,13
"sys2","sys32",104,104,104
"sys2","sys33",104,104,13
"sys2","sys34",20,16,16
"sys2","sys35",214,214,214
"sys2","sys36",214,214,14
"sys2","sys37",2,2,2
"sys2","sys38",9,9,14
"sys2","sys39",9,9,14
"sys2","sys40",1,1,1
"sys2","sys41",204,4,4
"sys2","sys42",20,20,14
"sys2","sys43",7,4,4
"sys2","sys44",19,19,19
"sys2","sys45",17,1,1
"sys2","sys46",204,204,204
"sys2","sys47",10,13,13
"sys2","sys48",18,14,14
"sys2","sys49",10,4,4
"sys2","sys50",17,4,4
"sys2","sys51",204,204,0
"sys2","sys52",204,204,0
"sys2","sys53",114,3,3
"sys2","sys54",214,214,214
"sys2","sys55",214,214,14
"sys2","sys56",214,214,214
"sys2","sys57",19,19,14
"sys2","sys60",114,114,0
"sys2","sys61",114,114,114
"sys2","sys62",104,104,104
"sys2","sys66",19,19,1
"sys2","sys68",1,1,1
"sys2","sys69",17,13,13
"sys2","sys70",13,13,13
"sys2","sys71",134,0,0
"sys2","sys72",1,1,1
"sys2","sys73",214,214,214
"sys2","sys74",19,1,1
"sys2","sys76",2,2,2
"sys2","sys77",19,14,14
"sys2","sys78",9,16,16
"sys2","sys79",9,9,9
"sys2","sys80",9,9,9
"sys2","sys81",9,9,9
"sys2","sys82",114,14,14
"sys2","sys85",9,1,1
"sys2","sys87",104,4,4
"sys2","sys88",2,2,0
"sys3","sys4",2,1,1
"sys3","sys5",114,114,114
"sys3","sys6",2,0,0
"sys3","sys7",2,14,14
"sys3","sys8",10,6,0
"sys3","sys9",204,204,204
"sys3","sys10",114,114,14
"sys3","sys11",10,4,4
"sys3","sys12",204,204,4
"sys3","sys13",19,19,19
"sys3","sys14",19,19,14
"sys3","sys15",19,14,14
"sys3","sys16",19,19,14
"sys3","sys17",19,19,14
"sys3","sys18",2,2,14
"sys3","sys19",214,214,5
"sys3","sys20",214,214,214
"sys3","sys21",19,4,4
"sys3","sys22",19,19,19
"sys3","sys23",19,19,4
"sys3","sys24",13,13,13
"sys3","sys25",13,13,13
"sys3","sys26",10,6,6
"sys3","sys27",114,114,14
"sys3","sys28",10,4,4
"sys3","sys29",9,6,6
"sys3","sys30",9,6,6
"sys3","sys31",104,104,6
"sys3","sys32",214,214,214
"sys3","sys33",104,104,104
"sys3","sys34",214,214,16
"sys3","sys35",19,14,14
"sys3","sys36",2,2,14
"sys3","sys37",2,14,14
"sys3","sys38",19,19,14
"sys3","sys39",19,19,14
"sys3","sys40",9,0,0
"sys3","sys41",10,6,6
"sys3","sys42",19,13,13
"sys3","sys43",204,6,6
"sys3","sys44",19,19,19
"sys3","sys45",19,19,1
"sys3","sys46",114,14,0
"sys3","sys47",104,104,6
"sys3","sys48",2,2,14
"sys3","sys49",204,6,6
"sys3","sys50",204,204,4
"sys3","sys51",18,14,14
"sys3","sys52",20,5,5
"sys3","sys53",9,1,1
"sys3","sys54",2,2,2
"sys3","sys55",2,2,2
"sys3","sys56",2,2,2
"sys3","sys57",2,2,14
"sys3","sys60",10,0,0
"sys3","sys61",124,124,0
"sys3","sys62",104,0,0
"sys3","sys66",2,2,14
"sys3","sys68",19,16,16
"sys3","sys69",8,6,6
"sys3","sys70",13,13,13
"sys3","sys71",2,0,0
"sys3","sys72",214,214,1
"sys3","sys73",214,214,214
"sys3","sys74",104,13,13
"sys3","sys76",19,19,14
"sys3","sys77",2,2,2
"sys3","sys78",7,14,14
"sys3","sys79",7,1,1
"sys3","sys80",7,1,1
"sys3","sys81",19,19,14
"sys3","sys82",18,16,0
"sys3","sys85",2,2,4
"sys3","sys87",10,5,5
"sys3","sys88",2,6,6
"sys4","sys5",114,114,16
"sys4","sys6",2,2,0
"sys4","sys7",9,3,3
"sys4","sys8",104,0,0
"sys4","sys9",114,5,5
"sys4","sys10",2,2,2
"sys4","sys11",9,4,4
"sys4","sys12",2,2,2
"sys4","sys13",19,14,14
"sys4","sys14",19,19,14
"sys4","sys15",19,14,14
"sys4","sys16",9,14,14
"sys4","sys17",9,14,14
"sys4","sys18",19,14,14
"sys4","sys19",214,214,214
"sys4","sys20",214,214,214
"sys4","sys21",9,1,1
"sys4","sys22",1,1,1
"sys4","sys23",1,1,1
"sys4","sys24",13,13,13
"sys4","sys25",13,13,13
"sys4","sys26",13,13,13
"sys4","sys27",19,19,14
"sys4","sys28",204,0,0
"sys4","sys29",8,6,6
"sys4","sys30",8,6,6
"sys4","sys31",104,104,4
"sys4","sys32",104,104,104
"sys4","sys33",104,104,104
"sys4","sys34",214,16,0
"sys4","sys35",9,9,14
"sys4","sys36",19,14,14
"sys4","sys37",214,214,14
"sys4","sys38",19,14,14
"sys4","sys39",19,14,14
"sys4","sys40",2,0,0
"sys4","sys41",19,13,13
"sys4","sys42",17,4,4
"sys4","sys43",19,13,13
"sys4","sys44",19,19,14
"sys4","sys45",2,2,14
"sys4","sys46",114,14,14
"sys4","sys47",104,6,6
"sys4","sys48",2,2,14
"sys4","sys49",204,4,4
"sys4","sys50",2,14,14
"sys4","sys51",114,114,3
"sys4","sys52",114,14,14
"sys4","sys53",2,14,14
"sys4","sys54",2,2,2
"sys4","sys55",2,2,2
"sys4","sys56",2,2,2
"sys4","sys57",2,2,2
"sys4","sys60",134,0,0
"sys4","sys61",134,0,0
"sys4","sys62",204,0,0
"sys4","sys66",2,2,14
"sys4","sys68",2,2,2
"sys4","sys69",10,4,4
"sys4","sys70",10,6,6
"sys4","sys71",2,36,0
"sys4","sys72",104,104,4
"sys4","sys73",104,104,104
"sys4","sys74",104,13,13
"sys4","sys76",19,14,14
"sys4","sys77",17,14,14
"sys4","sys78",9,3,3
"sys4","sys79",214,214,14
"sys4","sys80",19,14,14
"sys4","sys81",214,214,14
"sys4","sys82",214,214,3
"sys4","sys85",2,2,4
"sys4","sys87",2,4,4
"sys4","sys88",2,2,6
"sys5","sys6",214,214,16
"sys5","sys7",2,16,0
"sys5","sys8",2,0,0
"sys5","sys9",2,2,0
"sys5","sys10",2,2,2
"sys5","sys11",104,104,104
"sys5","sys12",2,2,5
"sys5","sys13",214,214,214
"sys5","sys14",104,5,5
"sys5","sys15",214,1,1
"sys5","sys16",214,214,214
"sys5","sys17",214,214,214
"sys5","sys18",214,214,214
"sys5","sys19",214,14,14
"sys5","sys20",214,214,214
"sys5","sys21",214,214,16
"sys5","sys22",104,104,104
"sys5","sys23",104,104,104
"sys5","sys24",10,5,5
"sys5","sys25",10,5,5
"sys5","sys26",2,5,5
"sys5","sys27",104,104,104
"sys5","sys28",2,0,0
"sys5","sys29",104,4,4
"sys5","sys30",104,4,4
"sys5","sys31",104,104,104
"sys5","sys32",20,5,5
"sys5","sys33",10,4,0
"sys5","sys34",20,16,0
"sys5","sys35",214,214,214
"sys5","sys36",104,104,104
"sys5","sys37",214,214,214
"sys5","sys38",214,14,14
"sys5","sys39",7,14,14
"sys5","sys40",10,5,5
"sys5","sys41",5,5,5
"sys5","sys42",20,1,1
"sys5","sys43",2,5,5
"sys5","sys44",7,14,14
"sys5","sys45",114,14,14
"sys5","sys46",114,114,114
"sys5","sys47",10,10,13
"sys5","sys48",114,14,14
"sys5","sys49",10,10,4
"sys5","sys50",10,1,1
"sys5","sys51",20,3,0
"sys5","sys52",20,0,0
"sys5","sys53",20,3,3
"sys5","sys54",214,214,14
"sys5","sys55",104,104,104
"sys5","sys56",214,214,14
"sys5","sys57",214,214,214
"sys5","sys60",114,114,0
"sys5","sys61",114,114,0
"sys5","sys62",204,0,0
"sys5","sys66",5,5,5
"sys5","sys68",5,5,5
"sys5","sys69",10,10,4
"sys5","sys70",10,4,4
"sys5","sys71",114,114,0
"sys5","sys72",20,5,0
"sys5","sys73",214,214,214
"sys5","sys74",20,5,0
"sys5","sys76",214,214,14
"sys5","sys77",214,214,214
"sys5","sys78",214,214,3
"sys5","sys79",214,214,214
"sys5","sys80",214,214,214
"sys5","sys81",214,214,214
"sys5","sys82",5,5,5
"sys5","sys85",5,5,5
"sys5","sys87",5,5,5
"sys5","sys88",114,114,14
"sys6","sys7",214,214,16
"sys6","sys8",204,1,0
"sys6","sys9",224,0,0
"sys6","sys10",2,2,2
"sys6","sys11",2,2,16
"sys6","sys12",2,2,2
"sys6","sys13",19,14,14
"sys6","sys14",2,16,16
"sys6","sys15",20,16,16
"sys6","sys16",214,14,14
"sys6","sys17",214,214,214
"sys6","sys18",214,16,16
"sys6","sys19",2,2,1
"sys6","sys20",2,2,2
"sys6","sys21",214,214,14
"sys6","sys22",214,214,214
"sys6","sys23",2,14,14
"sys6","sys24",114,3,3
"sys6","sys25",114,3,3
"sys6","sys26",3,3,3
"sys6","sys27",2,2,16
"sys6","sys28",9,0,0
"sys6","sys29",214,16,0
"sys6","sys30",214,16,0
"sys6","sys31",2,16,0
"sys6","sys32",204,4,4
"sys6","sys33",204,4,0
"sys6","sys34",224,0,0
"sys6","sys35",2,16,16
"sys6","sys36",2,16,16
"sys6","sys37",2,16,16
"sys6","sys38",2,16,16
"sys6","sys39",2,16,16
"sys6","sys40",2,2,0
"sys6","sys41",114,114,14
"sys6","sys42",20,16,16
"sys6","sys43",114,114,14
"sys6","sys44",20,16,16
"sys6","sys45",20,16,16
"sys6","sys46",114,114,114
"sys6","sys47",104,6,0
"sys6","sys48",114,16,16
"sys6","sys49",2,2,0
"sys6","sys50",2,2,0
"sys6","sys51",2,2,6
"sys6","sys52",2,2,6
"sys6","sys53",214,16,16
"sys6","sys54",2,2,16
"sys6","sys55",2,16,16
"sys6","sys56",2,16,16
"sys6","sys57",2,16,16
"sys6","sys60",204,204,0
"sys6","sys61",114,114,0
"sys6","sys62",204,204,204
"sys6","sys66",20,16,16
"sys6","sys68",2,16,0
"sys6","sys69",214,214,0
"sys6","sys70",20,3,0
"sys6","sys71",104,104,104
"sys6","sys72",204,1,0
"sys6","sys73",9,1,1
"sys6","sys74",204,4,0
"sys6","sys76",19,16,16
"sys6","sys77",2,14,14
"sys6","sys78",104,104,104
"sys6","sys79",2,16,16
"sys6","sys80",2,2,16
"sys6","sys81",2,16,16
"sys6","sys82",114,14,14
"sys6","sys85",20,14,14
"sys6","sys87",2,2,14
"sys6","sys88",114,114,0
"sys7","sys8",10,4,4
"sys7","sys9",10,13,13
"sys7","sys10",204,204,204
"sys7","sys11",204,4,4
"sys7","sys12",204,204,204
"sys7","sys13",9,4,4
"sys7","sys14",9,4,4
"sys7","sys15",2,2,4
"sys7","sys16",104,104,104
"sys7","sys17",2,2,6
"sys7","sys18",9,6,6
"sys7","sys19",9,4,4
"sys7","sys20",19,14,14
"sys7","sys21",2,2,2
"sys7","sys22",104,104,4
"sys7","sys23",2,2,2
"sys7","sys24",104,4,4
"sys7","sys25",104,4,4
"sys7","sys26",104,6,6
"sys7","sys27",2,14,14
"sys7","sys28",124,0,0
"sys7","sys29",104,4,4
"sys7","sys30",104,4,4
"sys7","sys31",7,4,4
"sys7","sys32",104,13,13
"sys7","sys33",10,13,13
"sys7","sys34",204,0,0
"sys7","sys35",9,14,14
"sys7","sys36",9,1,1
"sys7","sys37",9,14,14
"sys7","sys38",9,4,4
"sys7","sys39",9,9,1
"sys7","sys40",30,30,0
"sys7","sys41",104,104,104
"sys7","sys42",8,4,4
"sys7","sys43",104,104,0
"sys7","sys44",9,6,6
"sys7","sys45",2,6,6
"sys7","sys46",2,0,0
"sys7","sys47",104,104,104
"sys7","sys48",114,114,114
"sys7","sys49",204,204,204
"sys7","sys50",204,204,204
"sys7","sys51",214,14,14
"sys7","sys52",17,5,5
"sys7","sys53",214,214,1
"sys7","sys54",204,4,4
"sys7","sys55",204,4,4
"sys7","sys56",204,4,4
"sys7","sys57",9,14,14
"sys7","sys60",104,4,4
"sys7","sys61",104,4,4
"sys7","sys62",10,4,4
"sys7","sys66",204,4,4
"sys7","sys68",114,16,16
"sys7","sys69",104,104,104
"sys7","sys70",104,104,6
"sys7","sys71",104,13,0
"sys7","sys72",10,5,5
"sys7","sys73",2,4,4
"sys7","sys74",10,5,5
"sys7","sys76",9,4,4
"sys7","sys77",9,9,14
"sys7","sys78",2,14,14
"sys7","sys79",19,14,14
"sys7","sys80",214,214,14
"sys7","sys81",19,14,14
"sys7","sys82",114,114,0
"sys7","sys85",204,4,0
"sys7","sys87",204,204,4
"sys7","sys88",2,0,0
"sys8","sys9",19,19,4
"sys8","sys10",20,3,3
"sys8","sys11",20,3,3
"sys8","sys12",20,3,3
"sys8","sys13",7,4,0
"sys8","sys14",214,214,0
"sys8","sys15",114,3,0
"sys8","sys16",7,4,0
"sys8","sys17",7,4,0
"sys8","sys18",214,3,3
"sys8","sys19",20,5,5
"sys8","sys20",104,4,4
"sys8","sys21",10,4,0
"sys8","sys22",10,4,0
"sys8","sys23",10,0,0
"sys8","sys24",9,1,1
"sys8","sys25",9,1,1
"sys8","sys26",9,1,1
"sys8","sys27",104,104,0
"sys8","sys28",19,1,1
"sys8","sys29",10,4,4
"sys8","sys30",10,4,4
"sys8","sys31",214,5,5
"sys8","sys32",104,13,13
"sys8","sys33",104,13,13
"sys8","sys34",224,224,224
"sys8","sys35",104,104,0
"sys8","sys36",104,1,0
"sys8","sys37",104,1,1
"sys8","sys38",10,4,0
"sys8","sys39",7,4,4
"sys8","sys40",204,0,0
"sys8","sys41",9,9,9
"sys8","sys42",2,4,4
"sys8","sys43",9,9,1
"sys8","sys44",20,5,0
"sys8","sys45",214,16,16
"sys8","sys46",20,0,0
"sys8","sys47",104,104,4
"sys8","sys48",1,1,1
"sys8","sys49",20,3,3
"sys8","sys50",20,14,14
"sys8","sys51",13,13,13
"sys8","sys52",10,6,6
"sys8","sys53",9,6,6
"sys8","sys54",20,3,3
"sys8","sys55",3,3,3
"sys8","sys56",20,3,3
"sys8","sys57",13,0,0
"sys8","sys60",204,13,13
"sys8","sys61",19,13,13
"sys8","sys62",204,204,204
"sys8","sys66",20,16,16
"sys8","sys68",204,0,0
"sys8","sys69",5,5,5
"sys8","sys70",20,5,5
"sys8","sys71",2,34,0
"sys8","sys72",104,13,13
"sys8","sys73",104,104,104
"sys8","sys74",104,13,13
"sys8","sys76",20,5,0
"sys8","sys77",104,6,0
"sys8","sys78",204,0,0
"sys8","sys79",204,0,0
"sys8","sys80",204,0,0
"sys8","sys81",204,0,0
"sys8","sys82",104,104,4
"sys8","sys85",204,5,0
"sys8","sys87",20,5,5
"sys8","sys88",204,13,0
"sys9","sys10",214,16,0
"sys9","sys11",214,14,14
"sys9","sys12",3,3,0
"sys9","sys13",104,104,104
"sys9","sys14",214,3,3
"sys9","sys15",214,14,0
"sys9","sys16",104,104,4
"sys9","sys17",104,104,104
"sys9","sys18",214,3,3
"sys9","sys19",214,214,5
"sys9","sys20",104,104,5
"sys9","sys21",214,14,14
"sys9","sys22",104,104,104
"sys9","sys23",214,214,214
"sys9","sys24",104,104,0
"sys9","sys25",104,104,0
"sys9","sys26",104,104,0
"sys9","sys27",2,14,14
"sys9","sys28",2,0,0
"sys9","sys29",10,5,5
"sys9","sys30",10,5,5
"sys9","sys31",10,5,5
"sys9","sys32",104,104,104
"sys9","sys33",104,104,104
"sys9","sys34",204,16,0
"sys9","sys35",104,104,104
"sys9","sys36",214,14,14
"sys9","sys37",17,14,14
"sys9","sys38",104,104,104
"sys9","sys39",2,2,5
"sys9","sys40",114,114,0
"sys9","sys41",19,16,16
"sys9","sys42",2,2,4
"sys9","sys43",19,16,16
"sys9","sys44",2,2,14
"sys9","sys45",18,14,0
"sys9","sys46",40,36,0
"sys9","sys47",104,104,0
"sys9","sys48",114,0,0
"sys9","sys49",20,3,3
"sys9","sys50",20,20,0
"sys9","sys51",20,5,5
"sys9","sys52",2,5,5
"sys9","sys53",10,5,5
"sys9","sys54",214,214,14
"sys9","sys55",214,14,14
"sys9","sys56",214,214,14
"sys9","sys57",10,5,5
"sys9","sys60",104,6,6
"sys9","sys61",104,6,6
"sys9","sys62",104,104,104
"sys9","sys66",14,14,14
"sys9","sys68",20,0,0
"sys9","sys69",10,10,4
"sys9","sys70",10,10,4
"sys9","sys71",2,2,0
"sys9","sys72",104,104,104
"sys9","sys73",104,104,104
"sys9","sys74",104,104,104
"sys9","sys76",214,214,214
"sys9","sys77",104,104,104
"sys9","sys78",214,5,5
"sys9","sys79",2,14,14
"sys9","sys80",214,14,14
"sys9","sys81",214,14,14
"sys9","sys82",214,16,0
"sys9","sys85",114,114,0
"sys9","sys87",214,5,5
"sys9","sys88",2,0,0
"sys10","sys11",214,14,14
"sys10","sys12",17,4,4
"sys10","sys13",214,214,1
"sys10","sys14",2,2,2
"sys10","sys15",2,14,14
"sys10","sys16",214,3,3
"sys10","sys17",214,3,3
"sys10","sys18",5,5,5
"sys10","sys19",104,5,5
"sys10","sys20",214,1,1
"sys10","sys21",214,3,3
"sys10","sys22",214,1,1
"sys10","sys23",19,1,1
"sys10","sys24",2,4,4
"sys10","sys25",2,4,4
"sys10","sys26",2,4,0
"sys10","sys27",104,104,104
"sys10","sys28",114,0,0
"sys10","sys29",104,13,13
"sys10","sys30",104,13,13
"sys10","sys31",104,104,104
"sys10","sys32",104,104,104
"sys10","sys33",104,104,104
"sys10","sys34",20,16,16
"sys10","sys35",104,104,104
"sys10","sys36",104,104,104
"sys10","sys37",104,104,104
"sys10","sys38",17,14,14
"sys10","sys39",17,14,14
"sys10","sys40",8,4,4
"sys10","sys41",114,114,14
"sys10","sys42",19,14,14
"sys10","sys43",114,114,14
"sys10","sys44",19,14,14
"sys10","sys45",17,14,14
"sys10","sys46",204,204,204
"sys10","sys47",10,4,4
"sys10","sys48",2,14,14
"sys10","sys49",104,4,4
"sys10","sys50",104,104,4
"sys10","sys51",20,0,0
"sys10","sys52",10,0,0
"sys10","sys53",20,3,0
"sys10","sys54",104,104,104
"sys10","sys55",104,104,104
"sys10","sys56",104,104,104
"sys10","sys57",104,104,104
"sys10","sys60",114,114,16
"sys10","sys61",114,16,16
"sys10","sys62",114,114,16
"sys10","sys66",104,104,104
"sys10","sys68",9,9,9
"sys10","sys69",104,104,5
"sys10","sys70",2,4,4
"sys10","sys71",20,16,16
"sys10","sys72",114,0,0
"sys10","sys73",214,0,0
"sys10","sys74",214,0,0
"sys10","sys76",214,214,5
"sys10","sys77",214,214,214
"sys10","sys78",214,214,214
"sys10","sys79",214,214,14
"sys10","sys80",214,14,14
"sys10","sys81",214,214,214
"sys10","sys82",16,16,16
"sys10","sys85",17,14,14
"sys10","sys87",104,104,104
"sys10","sys88",2,2,2
"sys11","sys12",17,17,17
"sys11","sys13",19,1,1
"sys11","sys14",2,2,4
"sys11","sys15",9,4,4
"sys11","sys16",17,1,1
"sys11","sys17",19,1,1
"sys11","sys18",9,4,4
"sys11","sys19",104,104,104
"sys11","sys20",1,1,1
"sys11","sys21",9,1,1
"sys11","sys22",19,19,1
"sys11","sys23",19,19,4
"sys11","sys24",10,13,13
"sys11","sys25",10,13,13
"sys11","sys26",204,13,13
"sys11","sys27",17,4,4
"sys11","sys28",124,0,0
"sys11","sys29",10,6,6
"sys11","sys30",10,6,6
"sys11","sys31",10,6,6
"sys11","sys32",104,104,104
"sys11","sys33",104,104,104
"sys11","sys34",204,0,0
"sys11","sys35",10,1,1
"sys11","sys36",1,1,1
"sys11","sys37",10,10,10
"sys11","sys38",2,1,1
"sys11","sys39",1,1,1
"sys11","sys40",19,14,14
"sys11","sys41",7,1,1
"sys11","sys42",7,14,14
"sys11","sys43",7,1,1
"sys11","sys44",19,19,4
"sys11","sys45",19,1,1
"sys11","sys46",204,204,1
"sys11","sys47",10,10,13
"sys11","sys48",114,1,1
"sys11","sys49",2,2,5
"sys11","sys50",2,2,5
"sys11","sys51",204,4,0
"sys11","sys52",10,5,0
"sys11","sys53",114,5,5
"sys11","sys54",17,4,4
"sys11","sys55",2,5,5
"sys11","sys56",17,1,1
"sys11","sys57",9,4,4
"sys11","sys60",114,3,3
"sys11","sys61",114,16,16
"sys11","sys62",9,9,0
"sys11","sys66",9,4,4
"sys11","sys68",9,1,1
"sys11","sys69",10,13,13
"sys11","sys70",10,13,13
"sys11","sys71",2,0,0
"sys11","sys72",104,104,13
"sys11","sys73",2,4,4
"sys11","sys74",104,104,13
"sys11","sys76",104,4,4
"sys11","sys77",10,1,1
"sys11","sys78",1,1,1
"sys11","sys79",9,4,4
"sys11","sys80",19,1,1
"sys11","sys81",19,19,1
"sys11","sys82",114,16,16
"sys11","sys85",1,1,1
"sys11","sys87",19,19,4
"sys11","sys88",10,6,6
"sys12","sys13",214,1,1
"sys12","sys14",2,2,4
"sys12","sys15",2,4,4
"sys12","sys16",214,3,3
"sys12","sys17",214,14,14
"sys12","sys18",5,5,5
"sys12","sys19",17,1,1
"sys12","sys20",9,1,1
"sys12","sys21",214,16,16
"sys12","sys22",214,5,5
"sys12","sys23",19,1,1
"sys12","sys24",2,5,5
"sys12","sys25",2,5,5
"sys12","sys26",2,14,14
"sys12","sys27",104,104,4
"sys12","sys28",114,5,5
"sys12","sys29",2,2,4
"sys12","sys30",2,2,4
"sys12","sys31",104,104,104
"sys12","sys32",104,104,104
"sys12","sys33",104,104,104
"sys12","sys34",9,0,0
"sys12","sys35",104,104,104
"sys12","sys36",104,104,104
"sys12","sys37",104,104,104
"sys12","sys38",1,1,1
"sys12","sys39",17,1,1
"sys12","sys40",19,4,4
"sys12","sys41",19,3,3
"sys12","sys42",20,14,14
"sys12","sys43",18,14,14
"sys12","sys44",2,1,1
"sys12","sys45",17,1,1
"sys12","sys46",204,204,204
"sys12","sys47",10,10,4
"sys12","sys48",7,14,14
"sys12","sys49",10,4,4
"sys12","sys50",7,4,4
"sys12","sys51",20,0,0
"sys12","sys52",20,0,0
"sys12","sys53",3,3,3
"sys12","sys54",104,104,104
"sys12","sys55",104,104,104
"sys12","sys56",104,104,1
"sys12","sys57",104,104,104
"sys12","sys60",20,16,16
"sys12","sys61",20,16,16
"sys12","sys62",20,16,16
"sys12","sys66",104,104,4
"sys12","sys68",204,4,4
"sys12","sys69",2,5,5
"sys12","sys70",2,2,5
"sys12","sys71",134,134,0
"sys12","sys72",104,104,104
"sys12","sys73",214,0,0
"sys12","sys74",104,104,104
"sys12","sys76",104,104,1
"sys12","sys77",214,214,214
"sys12","sys78",104,104,104
"sys12","sys79",214,214,214
"sys12","sys80",214,214,214
"sys12","sys81",104,104,104
"sys12","sys82",3,3,3
"sys12","sys85",19,14,14
"sys12","sys87",104,104,104
"sys12","sys88",2,2,0
"sys13","sys14",114,114,114
"sys13","sys15",9,9,16
"sys13","sys16",214,214,214
"sys13","sys17",2,2,2
"sys13","sys18",9,9,14
"sys13","sys19",9,9,1
"sys13","sys20",19,14,14
"sys13","sys21",2,2,2
"sys13","sys22",2,2,2
"sys13","sys23",2,2,4
"sys13","sys24",10,13,13
"sys13","sys25",10,13,13
"sys13","sys26",204,13,13
"sys13","sys27",19,14,14
"sys13","sys28",10,6,0
"sys13","sys29",10,13,13
"sys13","sys30",10,13,13
"sys13","sys31",10,13,13
"sys13","sys32",10,13,13
"sys13","sys33",13,13,13
"sys13","sys34",20,16,16
"sys13","sys35",19,1,1
"sys13","sys36",19,14,14
"sys13","sys37",1,1,1
"sys13","sys38",9,9,9
"sys13","sys39",9,9,9
"sys13","sys40",204,5,0
"sys13","sys41",19,4,4
"sys13","sys42",1,1,1
"sys13","sys43",9,4,4
"sys13","sys44",19,19,19
"sys13","sys45",19,1,1
"sys13","sys46",114,114,114
"sys13","sys47",10,6,6
"sys13","sys48",19,14,14
"sys13","sys49",2,2,5
"sys13","sys50",114,114,14
"sys13","sys51",204,204,5
"sys13","sys52",10,10,4
"sys13","sys53",114,114,5
"sys13","sys54",19,14,14
"sys13","sys55",19,14,14
"sys13","sys56",19,19,14
"sys13","sys57",19,19,14
"sys13","sys60",9,0,0
"sys13","sys61",9,0,0
"sys13","sys62",9,0,0
"sys13","sys66",19,14,14
"sys13","sys68",114,16,16
"sys13","sys69",13,13,13
"sys13","sys70",13,13,13
"sys13","sys71",20,16,0
"sys13","sys72",10,5,5
"sys13","sys73",214,214,214
"sys13","sys74",13,13,13
"sys13","sys76",19,19,1
"sys13","sys77",2,2,2
"sys13","sys78",19,19,14
"sys13","sys79",19,19,4
"sys13","sys80",19,19,4
"sys13","sys81",19,19,19
"sys13","sys82",19,3,3
"sys13","sys85",1,1,1
"sys13","sys87",17,1,1
"sys13","sys88",204,4,4
"sys14","sys15",114,14,14
"sys14","sys16",9,3,3
"sys14","sys17",9,14,14
"sys14","sys18",18,14,14
"sys14","sys19",7,14,14
"sys14","sys20",9,14,14
"sys14","sys21",214,214,14
