"si","sj","logLik","AIC","BIC"
"sys2","sys38",114,3,3
"sys2","sys39",9,9,1
"sys2","sys40",104,13,0
"sys2","sys41",7,3,3
"sys2","sys42",204,5,0
"sys2","sys43",20,5,5
"sys2","sys44",114,3,3
"sys2","sys45",9,4,4
"sys2","sys46",20,5,5
"sys2","sys47",7,4,4
"sys2","sys48",10,4,0
"sys3","sys4",10,5,0
"sys3","sys5",104,104,0
"sys3","sys6",104,104,104
"sys3","sys7",10,5,5
"sys3","sys8",114,114,114
"sys3","sys9",10,13,13
"sys3","sys10",10,5,5
"sys3","sys11",114,1,0
"sys3","sys12",214,0,0
"sys3","sys13",214,214,0
"sys3","sys14",104,104,0
"sys3","sys15",20,5,5
"sys3","sys16",20,5,5
"sys3","sys17",20,5,5
"sys3","sys18",20,20,0
"sys3","sys19",20,5,0
"sys3","sys20",16,16,0
"sys3","sys21",104,0,0
"sys3","sys22",114,114,0
"sys3","sys23",20,5,0
"sys3","sys24",114,0,0
"sys3","sys25",214,0,0
"sys3","sys26",2,5,0
"sys3","sys27",10,0,0
"sys3","sys28",10,0,0
"sys3","sys29",5,5,5
"sys3","sys30",114,5,5
"sys3","sys33",10,13,13
"sys3","sys34",10,4,4
"sys3","sys35",10,13,13
"sys3","sys36",20,5,5
"sys3","sys37",10,5,5
"sys3","sys38",114,114,0
"sys3","sys39",114,114,114
"sys3","sys40",20,5,5
"sys3","sys41",20,5,0
"sys3","sys42",104,0,0
"sys3","sys43",214,214,0
"sys3","sys44",20,5,0
"sys3","sys45",104,0,0
"sys3","sys46",10,0,0
"sys3","sys47",2,2,0
"sys3","sys48",2,2,0
"sys4","sys5",1,1,1
"sys4","sys6",10,5,5
"sys4","sys7",104,13,13
"sys4","sys8",17,4,4
"sys4","sys9",2,2,2
"sys4","sys10",8,6,6
"sys4","sys11",9,4,4
"sys4","sys12",204,6,6
"sys4","sys13",10,6,6
"sys4","sys14",204,204,204
"sys4","sys15",10,10,13
"sys4","sys16",10,6,6
"sys4","sys17",10,13,13
"sys4","sys18",10,4,4
"sys4","sys19",204,13,13
"sys4","sys20",2,6,6
"sys4","sys21",204,6,6
"sys4","sys22",204,6,6
"sys4","sys23",114,114,114
"sys4","sys24",204,204,204
"sys4","sys25",9,6,6
"sys4","sys26",9,4,4
"sys4","sys27",10,4,4
"sys4","sys28",9,4,4
"sys4","sys29",8,4,4
"sys4","sys30",10,10,10
"sys4","sys33",19,19,1
"sys4","sys34",19,19,1
"sys4","sys35",204,4,4
"sys4","sys36",114,5,5
"sys4","sys37",13,13,13
"sys4","sys38",2,6,6
"sys4","sys39",204,6,6
"sys4","sys40",10,6,6
"sys4","sys41",19,19,1
"sys4","sys42",19,19,14
"sys4","sys43",204,204,0
"sys4","sys44",204,204,5
"sys4","sys45",204,204,204
"sys4","sys46",10,4,4
"sys4","sys47",2,2,2
"sys4","sys48",214,4,4
"sys5","sys6",5,5,5
"sys5","sys7",214,214,214
"sys5","sys8",214,214,5
"sys5","sys9",20,3,3
"sys5","sys10",20,3,3
"sys5","sys11",20,3,3
"sys5","sys12",104,104,104
"sys5","sys13",104,104,104
"sys5","sys14",104,104,104
"sys5","sys15",20,5,5
"sys5","sys16",5,5,5
"sys5","sys17",214,5,5
"sys5","sys18",20,20,3
"sys5","sys19",20,5,5
"sys5","sys20",104,104,104
"sys5","sys21",214,214,214
"sys5","sys22",20,16,16
"sys5","sys23",20,14,14
"sys5","sys24",20,20,14
"sys5","sys25",214,214,214
"sys5","sys26",20,5,5
"sys5","sys27",20,20,20
"sys5","sys28",20,20,5
"sys5","sys29",5,5,5
"sys5","sys30",1,1,1
"sys5","sys33",20,20,14
"sys5","sys34",20,3,3
"sys5","sys35",20,14,14
"sys5","sys36",214,214,214
"sys5","sys37",214,214,214
"sys5","sys38",20,20,5
"sys5","sys39",20,3,3
"sys5","sys40",20,20,20
"sys5","sys41",20,20,3
"sys5","sys42",20,20,3
"sys5","sys43",214,214,14
"sys5","sys44",20,20,20
"sys5","sys45",5,5,5
"sys5","sys46",20,5,5
"sys5","sys47",20,5,5
"sys5","sys48",20,20,3
"sys6","sys7",19,1,1
"sys6","sys8",104,104,104
"sys6","sys9",2,16,16
"sys6","sys10",214,16,16
"sys6","sys11",3,3,3
"sys6","sys12",20,5,5
"sys6","sys13",20,5,5
"sys6","sys14",20,5,5
"sys6","sys15",10,5,5
"sys6","sys16",10,5,5
"sys6","sys17",104,104,104
"sys6","sys18",9,14,14
"sys6","sys19",20,3,3
"sys6","sys20",104,104,104
"sys6","sys21",104,104,104
"sys6","sys22",3,3,3
"sys6","sys23",20,20,3
"sys6","sys24",20,20,3
"sys6","sys25",104,104,104
"sys6","sys26",20,20,5
"sys6","sys27",20,5,5
"sys6","sys28",20,20,3
"sys6","sys29",9,6,6
"sys6","sys30",5,5,5
"sys6","sys33",214,5,5
"sys6","sys34",7,3,3
"sys6","sys35",7,5,5
"sys6","sys36",10,4,4
"sys6","sys37",1,1,1
"sys6","sys38",3,3,3
"sys6","sys39",20,3,3
"sys6","sys40",3,3,3
"sys6","sys41",214,3,3
"sys6","sys42",20,3,3
"sys6","sys43",20,20,20
"sys6","sys44",20,20,3
"sys6","sys45",20,5,5
"sys6","sys46",20,5,5
"sys6","sys47",20,5,5
"sys6","sys48",20,20,3
"sys7","sys8",13,13,13
"sys7","sys9",8,4,4
"sys7","sys10",10,6,6
"sys7","sys11",20,1,1
"sys7","sys12",204,5,5
"sys7","sys13",10,5,5
"sys7","sys14",204,204,5
"sys7","sys15",114,114,114
"sys7","sys16",204,204,204
"sys7","sys17",114,114,114
"sys7","sys18",10,5,5
"sys7","sys19",204,204,204
"sys7","sys20",204,6,6
"sys7","sys21",204,6,6
"sys7","sys22",114,114,114
"sys7","sys23",204,204,204
"sys7","sys24",204,204,204
"sys7","sys25",204,6,6
"sys7","sys26",10,5,5
"sys7","sys27",19,4,4
"sys7","sys28",19,14,14
"sys7","sys29",10,10,4
"sys7","sys30",204,204,204
"sys7","sys33",8,6,6
"sys7","sys34",8,4,4
"sys7","sys35",10,4,4
"sys7","sys36",204,204,204
"sys7","sys37",17,4,4
"sys7","sys38",19,14,14
"sys7","sys39",9,14,14
"sys7","sys40",10,6,6
"sys7","sys41",9,6,6
"sys7","sys42",13,13,13
"sys7","sys43",204,204,204
"sys7","sys44",2,3,3
"sys7","sys45",204,1,1
"sys7","sys46",19,1,1
"sys7","sys47",5,5,5
"sys7","sys48",20,14,14
"sys8","sys9",204,4,4
"sys8","sys10",9,6,6
"sys8","sys11",10,4,4
"sys8","sys12",204,204,204
"sys8","sys13",204,204,5
"sys8","sys14",204,204,4
"sys8","sys15",10,5,5
"sys8","sys16",10,10,4
"sys8","sys17",10,5,5
"sys8","sys18",10,10,4
"sys8","sys19",204,204,204
"sys8","sys20",204,204,6
"sys8","sys21",204,204,4
"sys8","sys22",114,1,1
"sys8","sys23",204,204,204
"sys8","sys24",204,204,204
"sys8","sys25",9,4,4
"sys8","sys26",114,114,5
"sys8","sys27",2,2,5
"sys8","sys28",114,114,114
"sys8","sys29",17,1,1
"sys8","sys30",4,4,4
"sys8","sys33",10,6,6
"sys8","sys34",10,6,6
"sys8","sys35",2,6,6
"sys8","sys36",10,10,10
"sys8","sys37",13,13,13
"sys8","sys38",204,204,204
"sys8","sys39",204,204,204
"sys8","sys40",10,6,6
"sys8","sys41",9,4,4
"sys8","sys42",17,13,13
"sys8","sys43",204,204,204
"sys8","sys44",204,204,204
"sys8","sys45",204,4,4
"sys8","sys46",10,5,5
"sys8","sys47",114,114,5
"sys8","sys48",5,5,5
"sys9","sys10",20,5,5
"sys9","sys11",214,214,14
"sys9","sys12",10,0,0
"sys9","sys13",214,5,0
"sys9","sys14",2,5,5
"sys9","sys15",10,4,4
"sys9","sys16",2,2,2
"sys9","sys17",2,14,14
"sys9","sys18",7,14,14
"sys9","sys19",114,14,14
"sys9","sys20",114,0,0
"sys9","sys21",9,0,0
"sys9","sys22",9,1,1
"sys9","sys23",2,2,4
"sys9","sys24",20,16,16
"sys9","sys25",19,16,16
"sys9","sys26",9,3,3
"sys9","sys27",214,3,3
"sys9","sys28",214,214,5
"sys9","sys29",19,14,14
"sys9","sys30",104,4,4
"sys9","sys33",20,20,14
"sys9","sys34",214,14,14
"sys9","sys35",214,214,214
"sys9","sys36",2,14,14
"sys9","sys37",9,4,4
"sys9","sys38",19,19,14
"sys9","sys39",9,1,1
"sys9","sys40",7,4,4
"sys9","sys41",2,2,4
"sys9","sys42",10,4,4
"sys9","sys43",114,3,3
"sys9","sys44",2,5,5
"sys9","sys45",2,2,14
"sys9","sys46",104,4,4
"sys9","sys47",20,16,16
"sys9","sys48",214,16,16
"sys10","sys11",5,5,5
"sys10","sys12",5,5,5
"sys10","sys13",5,5,5
"sys10","sys14",2,5,5
"sys10","sys15",214,5,5
"sys10","sys16",20,1,1
"sys10","sys17",10,10,4
"sys10","sys18",20,5,5
"sys10","sys19",20,5,5
"sys10","sys20",104,6,0
"sys10","sys21",104,6,6
"sys10","sys22",9,4,4
"sys10","sys23",204,204,5
"sys10","sys24",114,114,5
"sys10","sys25",104,104,1
"sys10","sys26",204,4,4
"sys10","sys27",9,4,4
"sys10","sys28",10,5,5
"sys10","sys29",9,4,4
"sys10","sys30",13,13,13
"sys10","sys33",1,1,1
"sys10","sys34",7,4,4
"sys10","sys35",1,1,1
"sys10","sys36",10,4,4
"sys10","sys37",13,13,13
"sys10","sys38",9,1,1
"sys10","sys39",20,1,1
"sys10","sys40",2,4,4
"sys10","sys41",7,4,4
"sys10","sys42",9,4,4
"sys10","sys43",3,3,3
"sys10","sys44",114,114,114
"sys10","sys45",7,1,1
"sys10","sys46",17,13,13
"sys10","sys47",20,5,5
"sys10","sys48",5,5,5
"sys11","sys12",9,4,4
"sys11","sys13",7,4,4
"sys11","sys14",7,7,4
"sys11","sys15",214,3,3
"sys11","sys16",214,214,5
"sys11","sys17",20,5,5
"sys11","sys18",20,14,14
"sys11","sys19",20,5,5
"sys11","sys20",104,0,0
"sys11","sys21",204,204,204
"sys11","sys22",9,3,3
"sys11","sys23",204,204,204
"sys11","sys24",114,114,114
"sys11","sys25",9,1,1
"sys11","sys26",9,4,4
"sys11","sys27",10,5,5
"sys11","sys28",1,1,1
"sys11","sys29",20,5,5
"sys11","sys30",104,1,1
"sys11","sys33",13,13,13
"sys11","sys34",8,4,4
"sys11","sys35",10,4,4
"sys11","sys36",214,3,3
"sys11","sys37",9,1,1
"sys11","sys38",9,3,3
"sys11","sys39",214,214,14
"sys11","sys40",104,4,4
"sys11","sys41",19,14,14
"sys11","sys42",1,1,1
"sys11","sys43",204,204,204
"sys11","sys44",2,2,4
"sys11","sys45",9,4,4
"sys11","sys46",9,1,1
"sys11","sys47",1,1,1
"sys11","sys48",19,14,14
"sys12","sys13",5,5,5
"sys12","sys14",10,10,10
"sys12","sys15",10,10,10
"sys12","sys16",10,5,5
"sys12","sys17",104,5,5
"sys12","sys18",20,3,3
"sys12","sys19",5,5,5
"sys12","sys20",10,6,6
"sys12","sys21",10,10,6
"sys12","sys22",5,5,5
"sys12","sys23",204,204,204
"sys12","sys24",204,204,5
"sys12","sys25",10,10,4
"sys12","sys26",114,114,114
"sys12","sys27",20,5,5
"sys12","sys28",20,5,5
"sys12","sys29",2,2,2
"sys12","sys30",10,4,4
"sys12","sys33",10,6,6
"sys12","sys34",8,4,4
"sys12","sys35",2,6,6
"sys12","sys36",5,5,5
"sys12","sys37",10,4,4
"sys12","sys38",20,20,14
"sys12","sys39",20,1,1
"sys12","sys40",10,5,5
"sys12","sys41",5,5,5
"sys12","sys42",10,10,10
"sys12","sys43",5,5,5
"sys12","sys44",114,5,5
"sys12","sys45",10,5,5
"sys12","sys46",10,10,4
"sys12","sys47",20,5,5
"sys12","sys48",20,20,3
"sys13","sys14",10,10,10
"sys13","sys15",10,13,13
"sys13","sys16",10,10,4
"sys13","sys17",10,4,4
"sys13","sys18",20,3,3
"sys13","sys19",5,5,5
"sys13","sys20",104,13,13
"sys13","sys21",10,10,4
"sys13","sys22",20,20,20
"sys13","sys23",204,204,4
"sys13","sys24",10,4,4
"sys13","sys25",10,10,4
"sys13","sys26",20,5,5
"sys13","sys27",5,5,5
"sys13","sys28",7,3,3
"sys13","sys29",10,10,4
"sys13","sys30",10,5,5
"sys13","sys33",10,6,6
"sys13","sys34",104,4,4
"sys13","sys35",10,4,4
"sys13","sys36",10,10,4
"sys13","sys37",10,5,5
"sys13","sys38",20,5,5
"sys13","sys39",20,20,20
"sys13","sys40",10,5,5
"sys13","sys41",5,5,5
"sys13","sys42",5,5,5
"sys13","sys43",5,5,5
"sys13","sys44",114,114,114
"sys13","sys45",1,1,1
"sys13","sys46",20,5,5
"sys13","sys47",20,5,5
"sys13","sys48",3,3,3
"sys14","sys15",104,104,4
"sys14","sys16",104,5,5
"sys14","sys17",7,1,1
"sys14","sys18",20,20,3
"sys14","sys19",5,5,5
"sys14","sys20",10,6,6
"sys14","sys21",10,10,6
"sys14","sys22",20,5,5
"sys14","sys23",204,5,5
"sys14","sys24",2,2,5
"sys14","sys25",10,10,4
"sys14","sys26",20,16,16
"sys14","sys27",20,5,5
"sys14","sys28",214,3,3
"sys14","sys29",10,5,5
"sys14","sys30",10,10,13
"sys14","sys33",104,5,5
"sys14","sys34",20,5,5
"sys14","sys35",20,5,5
"sys14","sys36",20,5,5
"sys14","sys37",10,5,5
"sys14","sys38",20,5,5
"sys14","sys39",20,14,14
"sys14","sys40",20,20,20
"sys14","sys41",20,20,14
"sys14","sys42",5,5,5
"sys14","sys43",114,114,14
"sys14","sys44",20,5,5
"sys14","sys45",10,10,4
"sys14","sys46",214,16,16
"sys14","sys47",214,214,5
"sys14","sys48",3,3,3
"sys15","sys16",2,5,5
"sys15","sys17",6,6,6
"sys15","sys18",104,4,4
"sys15","sys19",10,10,10
"sys15","sys20",19,14,14
"sys15","sys21",10,10,13
"sys15","sys22",20,3,3
"sys15","sys23",2,2,2
"sys15","sys24",2,4,4
"sys15","sys25",17,1,1
"sys15","sys26",214,214,214
"sys15","sys27",104,5,5
"sys15","sys28",20,5,5
"sys15","sys29",5,5,5
"sys15","sys30",10,5,5
"sys15","sys33",214,14,14
"sys15","sys34",20,3,3
"sys15","sys35",3,3,3
"sys15","sys36",10,10,10
"sys15","sys37",5,5,5
"sys15","sys38",20,5,5
"sys15","sys39",20,5,5
"sys15","sys40",10,10,10
"sys15","sys41",10,10,10
"sys15","sys42",10,10,10
"sys15","sys43",114,114,114
"sys15","sys44",10,4,4
"sys15","sys45",2,5,5
"sys15","sys46",214,214,214
"sys15","sys47",20,5,5
"sys15","sys48",20,5,5
"sys16","sys17",10,10,4
"sys16","sys18",214,214,14
"sys16","sys19",5,5,5
"sys16","sys20",10,5,5
"sys16","sys21",10,10,5
"sys16","sys22",20,20,3
"sys16","sys23",114,114,114
"sys16","sys24",114,114,5
"sys16","sys25",17,14,14
"sys16","sys26",104,104,104
"sys16","sys27",104,104,5
"sys16","sys28",20,5,5
"sys16","sys29",10,4,4
"sys16","sys30",104,6,6
"sys16","sys33",20,5,5
"sys16","sys34",20,14,14
"sys16","sys35",20,3,3
"sys16","sys36",5,5,5
"sys16","sys37",5,5,5
"sys16","sys38",20,3,3
"sys16","sys39",20,20,20
"sys16","sys40",10,10,10
"sys16","sys41",10,10,10
"sys16","sys42",10,5,5
"sys16","sys43",5,5,5
"sys16","sys44",114,114,14
"sys16","sys45",204,204,4
"sys16","sys46",104,5,5
"sys16","sys47",104,104,104
"sys16","sys48",20,5,5
"sys17","sys18",104,5,5
"sys17","sys19",5,5,5
"sys17","sys20",10,4,4
"sys17","sys21",2,14,14
"sys17","sys22",20,16,16
"sys17","sys23",2,2,2
"sys17","sys24",114,114,14
"sys17","sys25",1,1,1
"sys17","sys26",3,3,3
"sys17","sys27",3,3,3
"sys17","sys28",214,3,3
"sys17","sys29",5,5,5
"sys17","sys30",10,10,4
"sys17","sys33",20,5,5
"sys17","sys34",20,5,5
"sys17","sys35",20,5,5
"sys17","sys36",5,5,5
"sys17","sys37",10,5,5
"sys17","sys38",20,3,3
"sys17","sys39",3,3,3
"sys17","sys40",5,5,5
"sys17","sys41",1,1,1
"sys17","sys42",20,5,5
"sys17","sys43",20,16,16
"sys17","sys44",19,16,16
"sys17","sys45",2,4,4
"sys17","sys46",3,3,3
"sys17","sys47",214,214,3
"sys17","sys48",214,214,214
"sys18","sys19",20,20,14
"sys18","sys20",214,0,0
"sys18","sys21",5,5,0
"sys18","sys22",1,1,1
"sys18","sys23",20,5,5
"sys18","sys24",20,20,5
"sys18","sys25",20,16,16
"sys18","sys26",214,214,214
"sys18","sys27",20,3,3
"sys18","sys28",20,3,3
"sys18","sys29",10,13,13
"sys18","sys30",214,214,14
"sys18","sys33",5,5,5
"sys18","sys34",20,5,5
"sys18","sys35",20,5,5
"sys18","sys36",204,5,5
"sys18","sys37",20,20,14
"sys18","sys38",10,10,10
"sys18","sys39",10,10,10
"sys18","sys40",5,5,5
"sys18","sys41",5,5,5
"sys18","sys42",20,5,5
"sys18","sys43",20,20,5
"sys18","sys44",20,20,3
"sys18","sys45",20,5,5
"sys18","sys46",3,3,3
"sys18","sys47",20,16,16
"sys18","sys48",20,5,5
"sys19","sys20",104,104,6
"sys19","sys21",104,104,4
"sys19","sys22",20,14,14
"sys19","sys23",20,5,5
"sys19","sys24",114,14,14
"sys19","sys25",10,10,4
"sys19","sys26",5,5,5
"sys19","sys27",10,10,4
"sys19","sys28",20,5,5
"sys19","sys29",104,104,104
"sys19","sys30",104,104,104
"sys19","sys33",10,5,5
"sys19","sys34",20,5,5
"sys19","sys35",10,10,4
"sys19","sys36",5,5,5
"sys19","sys37",104,104,5
"sys19","sys38",5,5,5
"sys19","sys39",20,5,5
"sys19","sys40",104,5,5
"sys19","sys41",104,104,4
"sys19","sys42",104,104,104
"sys19","sys43",114,114,14
"sys19","sys44",2,2,4
"sys19","sys45",5,5,5
"sys19","sys46",10,10,10
"sys19","sys47",10,10,4
"sys19","sys48",20,3,3
"sys20","sys21",6,6,6
"sys20","sys22",1,1,1
"sys20","sys23",204,204,204
"sys20","sys24",204,204,204
"sys20","sys25",204,13,13
"sys20","sys26",7,5,5
"sys20","sys27",9,4,4
"sys20","sys28",114,114,5
"sys20","sys29",2,5,5
"sys20","sys30",9,4,4
"sys20","sys33",2,0,0
"sys20","sys34",10,5,0
"sys20","sys35",2,5,0
"sys20","sys36",204,6,6
"sys20","sys37",104,6,6
"sys20","sys38",5,5,5
"sys20","sys39",10,10,4
"sys20","sys40",104,104,13
"sys20","sys41",10,10,13
"sys20","sys42",10,10,13
"sys20","sys43",10,13,13
"sys20","sys44",204,204,204
"sys20","sys45",204,204,204
"sys20","sys46",114,114,1
"sys20","sys47",19,1,1
"sys20","sys48",114,5,5
"sys21","sys22",10,13,13
"sys21","sys23",204,204,204
"sys21","sys24",204,13,13
"sys21","sys25",10,13,13
"sys21","sys26",1,1,1
"sys21","sys27",19,13,13
"sys21","sys28",204,4,4
"sys21","sys29",2,2,2
"sys21","sys30",2,2,2
"sys21","sys33",8,0,0
"sys21","sys34",10,4,0
"sys21","sys35",114,5,5
"sys21","sys36",10,4,4
"sys21","sys37",104,6,6
"sys21","sys38",10,1,1
"sys21","sys39",10,1,1
"sys21","sys40",104,104,4
"sys21","sys41",2,2,2
"sys21","sys42",104,104,104
"sys21","sys43",114,1,1
"sys21","sys44",204,204,204
"sys21","sys45",204,13,13
"sys21","sys46",19,13,13
"sys21","sys47",13,13,13
"sys21","sys48",4,4,4
"sys22","sys23",114,14,14
"sys22","sys24",2,2,14
"sys22","sys25",7,5,5
"sys22","sys26",9,1,1
"sys22","sys27",20,20,14
"sys22","sys28",20,1,1
"sys22","sys29",9,4,4
"sys22","sys30",9,1,1
"sys22","sys33",9,1,1
"sys22","sys34",114,114,1
"sys22","sys35",114,114,1
"sys22","sys36",20,5,5
"sys22","sys37",114,14,14
"sys22","sys38",8,6,6
"sys22","sys39",7,4,4
"sys22","sys40",20,5,5
"sys22","sys41",9,3,3
"sys22","sys42",214,214,5
"sys22","sys43",9,14,14
"sys22","sys44",20,14,14
"sys22","sys45",9,3,3
"sys22","sys46",114,14,14
"sys22","sys47",20,5,5
"sys22","sys48",20,20,14
"sys23","sys24",5,5,5
"sys23","sys25",104,104,4
"sys23","sys26",9,3,3
"sys23","sys27",20,14,14
"sys23","sys28",214,14,14
"sys23","sys29",2,4,4
"sys23","sys30",214,14,14
"sys23","sys33",5,5,5
"sys23","sys34",20,5,5
"sys23","sys35",20,5,5
"sys23","sys36",20,5,5
"sys23","sys37",104,104,104
"sys23","sys38",2,4,4
"sys23","sys39",2,4,4
"sys23","sys40",20,5,5
"sys23","sys41",5,5,5
"sys23","sys42",9,14,14
"sys23","sys43",5,5,5
"sys23","sys44",5,5,5
"sys23","sys45",10,5,5
"sys23","sys46",214,214,14
"sys23","sys47",20,16,16
"sys23","sys48",214,3,3
"sys24","sys25",7,14,14
"sys24","sys26",9,3,3
"sys24","sys27",214,214,214
"sys24","sys28",214,214,214
"sys24","sys29",104,104,4
"sys24","sys30",214,5,5
"sys24","sys33",214,214,214
"sys24","sys34",20,3,3
"sys24","sys35",9,3,3
"sys24","sys36",7,7,4
"sys24","sys37",2,2,2
"sys24","sys38",2,2,2
"sys24","sys39",2,2,2
"sys24","sys40",20,3,3
"sys24","sys41",20,5,5
"sys24","sys42",214,214,3
"sys24","sys43",5,5,5
"sys24","sys44",5,5,5
"sys24","sys45",20,1,1
"sys24","sys46",214,214,214
"sys24","sys47",214,214,214
"sys24","sys48",214,214,3
"sys25","sys26",20,20,5
"sys25","sys27",7,7,4
"sys25","sys28",20,5,5
"sys25","sys29",9,9,4
"sys25","sys30",104,104,6
"sys25","sys33",204,204,204
"sys25","sys34",9,14,14
"sys25","sys35",2,2,2
"sys25","sys36",10,4,4
"sys25","sys37",2,4,4
"sys25","sys38",2,2,5
"sys25","sys39",20,20,14
"sys25","sys40",9,14,14
"sys25","sys41",7,4,4
"sys25","sys42",1,1,1
"sys25","sys43",18,14,14
"sys25","sys44",20,1,1
"sys25","sys45",5,5,5
"sys25","sys46",20,3,3
"sys25","sys47",20,3,3
"sys25","sys48",20,20,20
"sys26","sys27",17,4,4
"sys26","sys28",7,4,4
"sys26","sys29",10,4,4
"sys26","sys30",2,2,4
"sys26","sys33",104,4,4
"sys26","sys34",2,4,4
"sys26","sys35",9,4,4
"sys26","sys36",3,3,3
"sys26","sys37",104,13,13
"sys26","sys38",9,1,1
"sys26","sys39",1,1,1
"sys26","sys40",7,4,4
"sys26","sys41",7,4,4
"sys26","sys42",20,1,1
"sys26","sys43",20,5,5
"sys26","sys44",7,14,14
"sys26","sys45",204,204,14
"sys26","sys46",5,5,5
"sys26","sys47",5,5,5
"sys26","sys48",5,5,5
"sys27","sys28",5,5,5
"sys27","sys29",104,13,13
"sys27","sys30",2,2,2
"sys27","sys33",20,5,5
"sys27","sys34",20,5,5
"sys27","sys35",20,5,5
"sys27","sys36",7,4,4
"sys27","sys37",2,2,2
"sys27","sys38",20,5,5
"sys27","sys39",20,14,14
"sys27","sys40",214,5,5
"sys27","sys41",214,214,14
"sys27","sys42",214,5,5
"sys27","sys43",20,20,14
"sys27","sys44",20,5,5
"sys27","sys45",3,3,3
"sys27","sys46",2,1,1
"sys27","sys47",2,1,1
"sys27","sys48",5,5,5
"sys28","sys29",104,4,4
"sys28","sys30",9,9,1
"sys28","sys33",2,5,5
"sys28","sys34",2,14,14
"sys28","sys35",2,2,14
"sys28","sys36",10,10,4
"sys28","sys37",104,104,104
"sys28","sys38",1,1,1
"sys28","sys39",1,1,1
"sys28","sys40",2,5,5
"sys28","sys41",5,5,5
"sys28","sys42",20,5,5
"sys28","sys43",5,5,5
"sys28","sys44",20,5,5
"sys28","sys45",20,3,3
"sys28","sys46",5,5,5
"sys28","sys47",10,10,4
"sys28","sys48",5,5,5
"sys29","sys30",10,13,13
"sys29","sys33",9,1,1
"sys29","sys34",204,4,4
"sys29","sys35",1,1,1
"sys29","sys36",10,10,4
"sys29","sys37",10,10,4
"sys29","sys38",9,4,4
"sys29","sys39",8,13,13
"sys29","sys40",10,4,4
"sys29","sys41",13,13,13
"sys29","sys42",9,1,1
"sys29","sys43",20,3,3
"sys29","sys44",204,204,5
"sys29","sys45",9,4,4
"sys29","sys46",204,204,13
"sys29","sys47",204,5,5
"sys29","sys48",204,204,204
"sys30","sys33",17,5,5
"sys30","sys34",17,1,1
"sys30","sys35",1,1,1
"sys30","sys36",5,5,5
"sys30","sys37",10,10,13
"sys30","sys38",114,114,14
"sys30","sys39",20,5,5
"sys30","sys40",10,4,4
"sys30","sys41",10,13,13
"sys30","sys42",1,1,1
"sys30","sys43",20,16,16
"sys30","sys44",20,14,14
"sys30","sys45",204,204,204
"sys30","sys46",2,2,5
"sys30","sys47",20,5,5
"sys30","sys48",20,3,3
"sys33","sys34",19,19,13
"sys33","sys35",7,4,4
"sys33","sys36",5,5,5
"sys33","sys37",13,13,13
"sys33","sys38",2,4,4
"sys33","sys39",1,1,1
"sys33","sys40",2,2,2
"sys33","sys41",2,2,4
"sys33","sys42",9,4,4
"sys33","sys43",114,3,3
"sys33","sys44",20,5,5
"sys33","sys45",104,5,5
"sys33","sys46",2,14,14
"sys33","sys47",2,2,16
"sys33","sys48",114,5,5
