"si","sj","logLik","AIC","BIC"
"sys12","sys17",5,5,5
"sys12","sys18",7,14,14
"sys12","sys19",1,1,1
"sys12","sys20",9,9,1
"sys12","sys21",9,14,14
"sys12","sys22",3,3,3
"sys12","sys23",214,3,3
"sys12","sys24",19,14,14
"sys12","sys25",7,14,14
"sys12","sys27",19,4,4
"sys12","sys28",19,4,4
"sys12","sys30",1,1,1
"sys13","sys14",114,114,3
"sys13","sys15",114,114,3
"sys13","sys16",5,5,5
"sys13","sys17",5,5,5
"sys13","sys18",5,5,5
"sys13","sys19",7,7,1
"sys13","sys20",114,114,114
"sys13","sys21",7,7,5
"sys13","sys22",3,3,3
"sys13","sys23",20,5,5
"sys13","sys24",9,9,14
"sys13","sys25",9,9,14
"sys13","sys27",7,7,1
"sys13","sys28",2,1,1
"sys13","sys30",214,214,214
"sys14","sys15",2,2,2
"sys14","sys16",214,214,214
"sys14","sys17",214,214,214
"sys14","sys18",214,214,214
"sys14","sys19",214,14,14
"sys14","sys20",20,3,3
"sys14","sys21",20,20,14
"sys14","sys22",10,4,4
"sys14","sys23",10,13,13
"sys14","sys24",3,3,3
"sys14","sys25",114,114,3
"sys14","sys27",214,214,3
"sys14","sys28",214,214,3
"sys14","sys30",214,214,214
"sys15","sys16",214,214,3
"sys15","sys17",214,214,3
"sys15","sys18",214,214,3
"sys15","sys19",214,214,14
"sys15","sys20",214,214,3
"sys15","sys21",214,214,214
"sys15","sys22",10,1,1
"sys15","sys23",104,13,13
"sys15","sys24",3,3,3
"sys15","sys25",114,3,3
"sys15","sys27",214,214,3
"sys15","sys28",214,214,214
"sys15","sys30",214,214,214
"sys16","sys17",114,114,14
"sys16","sys18",5,5,5
"sys16","sys19",114,114,114
"sys16","sys20",7,7,1
"sys16","sys21",7,14,14
"sys16","sys22",18,16,16
"sys16","sys23",18,16,16
"sys16","sys24",19,14,14
"sys16","sys25",19,14,14
"sys16","sys27",9,14,14
"sys16","sys28",20,20,14
"sys16","sys30",20,5,5
"sys17","sys18",19,19,19
"sys17","sys19",114,114,3
"sys17","sys20",9,14,14
"sys17","sys21",7,14,14
"sys17","sys22",18,16,16
"sys17","sys23",18,16,16
"sys17","sys24",2,2,2
"sys17","sys25",2,2,14
"sys17","sys27",214,14,14
"sys17","sys28",20,14,14
"sys17","sys30",104,5,5
"sys18","sys19",114,114,114
"sys18","sys20",2,2,14
"sys18","sys21",18,14,14
"sys18","sys22",18,14,14
"sys18","sys23",18,16,16
"sys18","sys24",9,14,14
"sys18","sys25",2,14,14
"sys18","sys27",9,14,14
"sys18","sys28",20,20,14
"sys18","sys30",5,5,5
"sys19","sys20",17,17,14
"sys19","sys21",19,19,14
"sys19","sys22",19,19,1
"sys19","sys23",2,4,4
"sys19","sys24",9,9,14
"sys19","sys25",19,19,14
"sys19","sys27",214,214,14
"sys19","sys28",214,214,214
"sys19","sys30",7,7,5
"sys20","sys21",214,214,214
"sys20","sys22",5,5,5
"sys20","sys23",5,5,5
"sys20","sys24",204,4,4
"sys20","sys25",9,4,4
"sys20","sys27",104,104,104
"sys20","sys28",214,4,4
"sys20","sys30",104,104,104
"sys21","sys22",114,14,14
"sys21","sys23",5,5,5
"sys21","sys24",9,1,1
"sys21","sys25",9,1,1
"sys21","sys27",9,9,1
"sys21","sys28",214,214,14
"sys21","sys30",7,7,7
"sys22","sys23",2,5,5
"sys22","sys24",19,16,16
"sys22","sys25",114,14,14
"sys22","sys27",20,16,16
"sys22","sys28",3,3,3
"sys22","sys30",214,3,3
"sys23","sys24",114,3,3
"sys23","sys25",114,114,16
"sys23","sys27",18,16,16
"sys23","sys28",214,3,3
"sys23","sys30",214,214,3
"sys24","sys25",2,2,2
"sys24","sys27",9,9,14
"sys24","sys28",7,14,14
"sys24","sys30",9,1,1
"sys25","sys27",9,9,14
"sys25","sys28",9,14,14
"sys25","sys30",1,1,1
"sys27","sys28",7,14,14
"sys27","sys30",7,1,1
"sys28","sys30",1,1,1
