"si","sj","logLik","AIC","BIC"
"sys5","sys13",20,5,5
"sys5","sys14",2,2,4
"sys5","sys15",7,4,4
"sys5","sys16",20,5,5
"sys5","sys17",20,5,5
"sys5","sys18",20,1,1
"sys5","sys19",20,20,5
"sys5","sys20",20,5,5
"sys5","sys21",20,3,3
"sys5","sys22",7,1,1
"sys5","sys23",7,3,3
"sys5","sys24",5,5,5
"sys5","sys25",20,20,20
"sys5","sys27",20,5,5
"sys5","sys28",20,20,5
"sys5","sys30",20,5,5
"sys6","sys7",7,3,3
"sys6","sys8",1,1,1
"sys6","sys9",5,5,5
"sys6","sys10",20,3,3
"sys6","sys11",10,10,4
"sys6","sys12",20,5,5
"sys6","sys13",20,5,5
"sys6","sys14",114,114,114
"sys6","sys15",114,5,5
"sys6","sys16",20,5,5
"sys6","sys17",20,14,14
"sys6","sys18",20,14,14
"sys6","sys19",114,114,114
"sys6","sys20",114,114,14
"sys6","sys21",20,5,5
"sys6","sys22",5,5,5
"sys6","sys23",20,14,14
"sys6","sys24",114,114,114
"sys6","sys25",20,5,5
"sys6","sys27",20,20,14
"sys6","sys28",20,20,14
"sys6","sys30",114,114,14
"sys7","sys8",19,19,1
"sys7","sys9",20,14,14
"sys7","sys10",20,16,16
"sys7","sys11",20,20,3
"sys7","sys12",5,5,5
"sys7","sys13",20,20,3
"sys7","sys14",9,1,1
"sys7","sys15",204,4,4
"sys7","sys16",17,14,14
"sys7","sys17",18,16,16
"sys7","sys18",20,14,14
"sys7","sys19",20,3,3
"sys7","sys20",7,3,3
"sys7","sys21",7,3,3
"sys7","sys22",2,5,5
"sys7","sys23",214,214,214
"sys7","sys24",20,20,14
"sys7","sys25",3,3,3
"sys7","sys27",5,5,5
"sys7","sys28",20,20,14
"sys7","sys30",20,5,5
"sys8","sys9",20,5,5
"sys8","sys10",214,3,3
"sys8","sys11",20,5,5
"sys8","sys12",20,5,5
"sys8","sys13",20,20,5
"sys8","sys14",20,14,14
"sys8","sys15",20,5,5
"sys8","sys16",17,14,14
"sys8","sys17",2,2,2
"sys8","sys18",20,14,14
"sys8","sys19",20,14,14
"sys8","sys20",20,14,14
"sys8","sys21",20,20,20
"sys8","sys22",5,5,5
"sys8","sys23",214,214,214
"sys8","sys24",18,3,3
"sys8","sys25",20,5,5
"sys8","sys27",5,5,5
"sys8","sys28",20,5,5
"sys8","sys30",20,5,5
"sys9","sys10",20,3,3
"sys9","sys11",2,1,1
"sys9","sys12",10,10,4
"sys9","sys13",5,5,5
"sys9","sys14",20,16,16
"sys9","sys15",114,114,16
"sys9","sys16",5,5,5
"sys9","sys17",2,2,5
"sys9","sys18",20,20,3
"sys9","sys19",20,20,5
"sys9","sys20",5,5,5
"sys9","sys21",5,5,5
"sys9","sys22",114,114,5
"sys9","sys23",1,1,1
"sys9","sys24",20,3,3
"sys9","sys25",20,5,5
"sys9","sys27",20,5,5
"sys9","sys28",20,5,5
"sys9","sys30",20,14,14
"sys10","sys11",20,1,1
"sys10","sys12",20,20,3
"sys10","sys13",3,3,3
"sys10","sys14",20,20,1
"sys10","sys15",19,16,16
"sys10","sys16",3,3,3
"sys10","sys17",20,16,16
"sys10","sys18",214,16,16
"sys10","sys19",3,3,3
"sys10","sys20",7,3,3
"sys10","sys21",3,3,3
"sys10","sys22",20,16,16
"sys10","sys23",20,16,16
"sys10","sys24",7,14,14
"sys10","sys25",20,5,5
"sys10","sys27",20,16,16
"sys10","sys28",214,214,3
"sys10","sys30",3,3,3
"sys11","sys12",5,5,5
"sys11","sys13",20,5,5
"sys11","sys14",20,14,14
"sys11","sys15",20,14,14
"sys11","sys16",17,14,14
"sys11","sys17",2,2,14
"sys11","sys18",18,3,3
"sys11","sys19",7,14,14
"sys11","sys20",104,104,104
"sys11","sys21",17,17,4
"sys11","sys22",214,5,5
"sys11","sys23",104,1,1
"sys11","sys24",20,20,16
"sys11","sys25",9,1,1
"sys11","sys27",20,14,14
"sys11","sys28",20,1,1
"sys11","sys30",20,20,20
"sys12","sys13",5,5,5
"sys12","sys14",20,3,3
"sys12","sys15",20,14,14
"sys12","sys16",114,14,14
"sys12","sys17",20,5,5
"sys12","sys18",18,14,14
"sys12","sys19",7,3,3
"sys12","sys20",5,5,5
"sys12","sys21",5,5,5
"sys12","sys22",1,1,1
"sys12","sys23",1,1,1
"sys12","sys24",20,1,1
"sys12","sys25",9,1,1
"sys12","sys27",5,5,5
"sys12","sys28",20,20,14
"sys12","sys30",1,1,1
"sys13","sys14",20,3,3
"sys13","sys15",3,3,3
"sys13","sys16",20,20,14
"sys13","sys17",20,20,14
"sys13","sys18",20,20,20
"sys13","sys19",20,3,3
"sys13","sys20",20,20,14
"sys13","sys21",20,20,14
"sys13","sys22",20,5,5
"sys13","sys23",20,20,3
"sys13","sys24",20,3,3
"sys13","sys25",20,20,5
"sys13","sys27",1,1,1
"sys13","sys28",1,1,1
"sys13","sys30",2,4,4
"sys14","sys15",2,1,1
"sys14","sys16",214,214,14
"sys14","sys17",214,214,214
"sys14","sys18",214,214,14
"sys14","sys19",3,3,3
"sys14","sys20",214,214,14
"sys14","sys21",20,20,3
"sys14","sys22",10,10,13
"sys14","sys23",104,104,5
"sys14","sys24",214,214,3
"sys14","sys25",9,9,9
"sys14","sys27",214,214,3
"sys14","sys28",214,3,3
"sys14","sys30",20,20,20
"sys15","sys16",7,14,14
"sys15","sys17",20,14,14
"sys15","sys18",7,5,5
"sys15","sys19",20,3,3
"sys15","sys20",2,5,5
"sys15","sys21",3,3,3
"sys15","sys22",10,13,13
"sys15","sys23",5,5,5
"sys15","sys24",20,5,5
"sys15","sys25",9,9,9
"sys15","sys27",20,20,14
"sys15","sys28",214,3,3
"sys15","sys30",20,20,20
"sys16","sys17",7,4,4
"sys16","sys18",20,20,20
"sys16","sys19",114,3,3
"sys16","sys20",5,5,5
"sys16","sys21",20,5,5
"sys16","sys22",1,1,1
"sys16","sys23",9,1,1
"sys16","sys24",20,20,3
"sys16","sys25",20,5,5
"sys16","sys27",1,1,1
"sys16","sys28",1,1,1
"sys16","sys30",7,1,1
"sys17","sys18",20,20,14
"sys17","sys19",20,20,5
"sys17","sys20",2,5,5
"sys17","sys21",20,20,14
"sys17","sys22",214,14,14
"sys17","sys23",2,4,4
"sys17","sys24",20,16,16
"sys17","sys25",20,14,14
"sys17","sys27",20,5,5
"sys17","sys28",20,14,14
"sys17","sys30",2,2,2
"sys18","sys19",3,3,3
"sys18","sys20",20,20,5
"sys18","sys21",9,9,3
"sys18","sys22",2,5,5
"sys18","sys23",104,104,4
"sys18","sys24",20,20,3
"sys18","sys25",20,20,20
"sys18","sys27",20,16,16
"sys18","sys28",20,20,3
"sys18","sys30",20,3,3
"sys19","sys20",20,20,14
"sys19","sys21",20,20,14
"sys19","sys22",7,1,1
"sys19","sys23",9,9,1
"sys19","sys24",20,20,20
"sys19","sys25",20,20,1
"sys19","sys27",20,20,14
"sys19","sys28",214,16,16
"sys19","sys30",20,20,14
"sys20","sys21",5,5,5
"sys20","sys22",20,14,14
"sys20","sys23",20,14,14
"sys20","sys24",204,204,4
"sys20","sys25",2,2,4
"sys20","sys27",10,10,10
"sys20","sys28",1,1,1
"sys20","sys30",10,10,4
"sys21","sys22",1,1,1
"sys21","sys23",1,1,1
"sys21","sys24",20,5,5
"sys21","sys25",20,5,5
"sys21","sys27",20,1,1
"sys21","sys28",20,1,1
"sys21","sys30",20,20,5
"sys22","sys23",5,5,5
"sys22","sys24",20,14,14
"sys22","sys25",20,3,3
"sys22","sys27",20,14,14
"sys22","sys28",7,14,14
"sys22","sys30",5,5,5
"sys23","sys24",18,3,3
"sys23","sys25",9,3,3
"sys23","sys27",1,1,1
"sys23","sys28",18,16,16
"sys23","sys30",204,5,5
"sys24","sys25",17,14,14
"sys24","sys27",20,20,20
"sys24","sys28",20,5,5
"sys24","sys30",20,3,3
"sys25","sys27",20,20,20
"sys25","sys28",20,3,3
"sys25","sys30",20,20,3
"sys27","sys28",1,1,1
"sys27","sys30",10,4,4
"sys28","sys30",1,1,1
