"si","sj","logLik","AIC","BIC"
"sys14","sys22",114,1,1
"sys14","sys23",20,16,16
"sys14","sys24",20,16,16
"sys14","sys25",1,1,1
"sys14","sys26",19,14,14
"sys14","sys27",7,1,1
"sys14","sys28",9,16,16
"sys14","sys29",20,14,14
"sys14","sys30",20,5,5
"sys14","sys31",214,214,14
"sys14","sys32",1,1,1
"sys14","sys33",2,4,4
"sys14","sys34",9,1,1
"sys15","sys16",9,1,0
"sys15","sys17",104,104,0
"sys15","sys18",104,4,4
"sys15","sys19",2,5,5
"sys15","sys20",2,2,2
"sys15","sys21",19,1,1
"sys15","sys22",1,1,1
"sys15","sys23",20,20,0
"sys15","sys24",20,16,0
"sys15","sys25",1,1,1
"sys15","sys26",5,5,5
"sys15","sys27",18,14,14
"sys15","sys28",114,14,14
"sys15","sys29",2,2,0
"sys15","sys30",7,7,4
"sys15","sys31",2,2,16
"sys15","sys32",114,1,1
"sys15","sys33",19,19,4
"sys15","sys34",5,5,5
"sys16","sys17",104,104,104
"sys16","sys18",2,14,14
"sys16","sys19",20,14,14
"sys16","sys20",2,5,5
"sys16","sys21",104,104,6
"sys16","sys22",104,104,13
"sys16","sys23",10,4,4
"sys16","sys24",1,1,1
"sys16","sys25",104,104,6
"sys16","sys26",10,13,13
"sys16","sys27",104,104,4
"sys16","sys28",17,1,1
"sys16","sys29",17,13,13
"sys16","sys30",9,4,4
"sys16","sys31",8,4,4
"sys16","sys32",104,4,4
"sys16","sys33",104,4,4
"sys16","sys34",104,4,0
"sys17","sys18",2,2,4
"sys17","sys19",2,5,5
"sys17","sys20",2,2,4
"sys17","sys21",2,6,6
"sys17","sys22",9,6,6
"sys17","sys23",17,4,4
"sys17","sys24",1,1,1
"sys17","sys25",10,6,6
"sys17","sys26",19,19,1
"sys17","sys27",104,6,6
"sys17","sys28",19,1,1
"sys17","sys29",10,1,1
"sys17","sys30",10,4,4
"sys17","sys31",10,10,5
"sys17","sys32",9,4,4
"sys17","sys33",8,6,6
"sys17","sys34",19,14,14
"sys18","sys19",19,4,4
"sys18","sys20",9,6,6
"sys18","sys21",19,6,6
"sys18","sys22",19,13,13
"sys18","sys23",19,4,4
"sys18","sys24",114,114,1
"sys18","sys25",204,6,6
"sys18","sys26",204,204,204
"sys18","sys27",204,204,5
"sys18","sys28",114,3,3
"sys18","sys29",17,1,1
"sys18","sys30",9,1,1
"sys18","sys31",204,1,1
"sys18","sys32",2,2,2
"sys18","sys33",2,2,2
"sys18","sys34",2,14,0
"sys19","sys20",17,4,4
"sys19","sys21",1,1,1
"sys19","sys22",2,4,4
"sys19","sys23",20,3,3
"sys19","sys24",114,114,16
"sys19","sys25",5,5,5
"sys19","sys26",10,13,13
"sys19","sys27",20,14,14
"sys19","sys28",114,14,14
"sys19","sys29",2,2,2
"sys19","sys30",114,114,16
"sys19","sys31",2,2,2
"sys19","sys32",10,10,4
"sys19","sys33",2,5,5
"sys19","sys34",20,5,5
"sys20","sys21",9,6,6
"sys20","sys22",19,19,19
"sys20","sys23",204,204,1
"sys20","sys24",114,114,114
"sys20","sys25",9,4,4
"sys20","sys26",19,4,4
"sys20","sys27",19,4,4
"sys20","sys28",19,14,14
"sys20","sys29",204,204,4
"sys20","sys30",2,14,0
"sys20","sys31",204,6,6
"sys20","sys32",104,4,4
"sys20","sys33",9,4,4
"sys20","sys34",104,104,5
"sys21","sys22",8,4,4
"sys21","sys23",9,6,6
"sys21","sys24",204,204,204
"sys21","sys25",19,19,4
"sys21","sys26",2,13,13
"sys21","sys27",10,4,4
"sys21","sys28",19,14,14
"sys21","sys29",204,204,4
"sys21","sys30",204,204,6
"sys21","sys31",204,4,4
"sys21","sys32",2,2,4
"sys21","sys33",9,4,4
"sys21","sys34",104,104,5
"sys22","sys23",9,6,6
"sys22","sys24",204,204,204
"sys22","sys25",8,6,6
"sys22","sys26",10,13,13
"sys22","sys27",10,6,6
"sys22","sys28",2,4,4
"sys22","sys29",204,6,6
"sys22","sys30",204,204,6
"sys22","sys31",204,204,204
"sys22","sys32",8,6,6
"sys22","sys33",10,6,6
"sys22","sys34",10,5,5
"sys23","sys24",17,4,4
"sys23","sys25",19,19,4
"sys23","sys26",10,5,5
"sys23","sys27",104,104,4
"sys23","sys28",1,1,1
"sys23","sys29",9,4,4
"sys23","sys30",19,19,4
"sys23","sys31",19,19,4
"sys23","sys32",104,104,104
"sys23","sys33",104,104,104
"sys23","sys34",104,0,0
"sys24","sys25",214,214,14
"sys24","sys26",5,5,5
"sys24","sys27",104,4,4
"sys24","sys28",5,5,5
"sys24","sys29",7,4,4
"sys24","sys30",17,13,13
"sys24","sys31",2,1,1
"sys24","sys32",2,2,4
"sys24","sys33",214,214,4
"sys24","sys34",20,16,16
"sys25","sys26",17,4,4
"sys25","sys27",19,4,4
"sys25","sys28",19,19,14
"sys25","sys29",204,204,204
"sys25","sys30",19,19,1
"sys25","sys31",204,204,204
"sys25","sys32",19,4,4
"sys25","sys33",9,6,6
"sys25","sys34",104,4,4
"sys26","sys27",104,104,104
"sys26","sys28",204,4,4
"sys26","sys29",1,1,1
"sys26","sys30",17,17,14
"sys26","sys31",10,1,1
"sys26","sys32",104,13,13
"sys26","sys33",104,6,6
"sys26","sys34",2,2,0
"sys27","sys28",204,204,204
"sys27","sys29",204,204,204
"sys27","sys30",204,204,204
"sys27","sys31",204,204,204
"sys27","sys32",19,13,13
"sys27","sys33",13,13,13
"sys27","sys34",2,4,4
"sys28","sys29",1,1,1
"sys28","sys30",17,1,1
"sys28","sys31",19,19,1
"sys28","sys32",104,104,104
"sys28","sys33",19,19,14
"sys28","sys34",9,0,0
"sys29","sys30",13,13,13
"sys29","sys31",104,6,6
"sys29","sys32",2,1,1
"sys29","sys33",7,4,4
"sys29","sys34",2,2,0
"sys30","sys31",17,13,13
"sys30","sys32",17,4,4
"sys30","sys33",7,4,4
"sys30","sys34",114,14,14
"sys31","sys32",104,4,4
"sys31","sys33",1,1,1
"sys31","sys34",104,4,0
"sys32","sys33",2,2,5
"sys32","sys34",1,1,1
"sys33","sys34",10,4,4
